,cell_type,batch,condition,donor,n_counts
cell_00505,T_cell,batch_0,healthy,donor_2,1471
cell_00506,T_cell,batch_2,healthy,donor_4,1410
cell_00507,T_cell,batch_1,disease,donor_4,1272
cell_00508,T_cell,batch_2,disease,donor_0,1324
cell_00509,T_cell,batch_0,disease,donor_1,1450
cell_00510,T_cell,batch_2,healthy,donor_3,1224
cell_00511,T_cell,batch_0,healthy,donor_1,1377
cell_00512,T_cell,batch_0,healthy,donor_4,1207
cell_00513,T_cell,batch_1,healthy,donor_0,1342
cell_00514,T_cell,batch_2,healthy,donor_1,1308
cell_00515,T_cell,batch_2,disease,donor_1,1198
cell_00516,T_cell,batch_1,disease,donor_1,1408
cell_00517,T_cell,batch_0,healthy,donor_5,1263
cell_00518,T_cell,batch_1,healthy,donor_2,1208
cell_00519,T_cell,batch_0,healthy,donor_2,1337
cell_00520,T_cell,batch_1,disease,donor_4,1361
cell_00521,T_cell,batch_1,disease,donor_4,1231
cell_00522,T_cell,batch_0,healthy,donor_5,1273
cell_00523,T_cell,batch_1,healthy,donor_3,1349
cell_00524,T_cell,batch_2,healthy,donor_1,1490
cell_00525,T_cell,batch_2,healthy,donor_5,1389
cell_00526,T_cell,batch_1,disease,donor_4,1323
cell_00527,T_cell,batch_0,healthy,donor_5,1114
cell_00528,T_cell,batch_1,disease,donor_1,1275
cell_00529,T_cell,batch_0,healthy,donor_1,1173
cell_00530,T_cell,batch_1,healthy,donor_2,1363
cell_00531,T_cell,batch_2,healthy,donor_3,1108
cell_00532,T_cell,batch_0,disease,donor_3,1361
cell_00533,T_cell,batch_2,healthy,donor_5,1413
cell_00534,T_cell,batch_2,disease,donor_3,1373
cell_00535,T_cell,batch_1,disease,donor_1,1305
cell_00536,T_cell,batch_2,healthy,donor_5,1335
cell_00537,T_cell,batch_2,healthy,donor_1,1307
cell_00538,T_cell,batch_1,healthy,donor_2,1332
cell_00539,T_cell,batch_0,healthy,donor_5,1447
cell_00540,T_cell,batch_0,healthy,donor_2,1228
cell_00541,T_cell,batch_1,disease,donor_4,1319
cell_00542,T_cell,batch_1,healthy,donor_0,1426
cell_00543,T_cell,batch_1,healthy,donor_0,1392
cell_00544,T_cell,batch_0,healthy,donor_0,1175
cell_00545,T_cell,batch_2,healthy,donor_4,1258
cell_00546,T_cell,batch_2,healthy,donor_4,1226
cell_00547,T_cell,batch_0,healthy,donor_0,1347
cell_00548,T_cell,batch_2,disease,donor_0,1396
cell_00549,T_cell,batch_2,disease,donor_4,1171
cell_00550,T_cell,batch_1,healthy,donor_5,1273
cell_00551,T_cell,batch_0,healthy,donor_5,1346
cell_00552,T_cell,batch_0,healthy,donor_5,1266
cell_00553,T_cell,batch_2,healthy,donor_3,1328
cell_00554,T_cell,batch_0,healthy,donor_5,1196
cell_00555,T_cell,batch_2,disease,donor_4,1374
cell_00556,T_cell,batch_0,healthy,donor_5,1212
cell_00557,T_cell,batch_1,healthy,donor_1,1336
cell_00558,T_cell,batch_1,disease,donor_2,1393
cell_00559,T_cell,batch_1,disease,donor_3,1259
cell_00560,T_cell,batch_1,disease,donor_5,1490
cell_00561,T_cell,batch_2,healthy,donor_3,1408
cell_00562,T_cell,batch_2,healthy,donor_2,1281
cell_00563,T_cell,batch_1,healthy,donor_3,1304
cell_00564,T_cell,batch_0,disease,donor_5,1382
cell_00565,T_cell,batch_1,healthy,donor_1,1285
cell_00566,T_cell,batch_1,healthy,donor_5,1127
cell_00567,T_cell,batch_1,healthy,donor_0,1333
cell_00568,T_cell,batch_0,healthy,donor_1,1346
cell_00569,T_cell,batch_1,disease,donor_3,1410
cell_00570,T_cell,batch_1,disease,donor_4,1300
cell_00571,T_cell,batch_1,healthy,donor_4,1317
cell_00572,T_cell,batch_1,healthy,donor_5,1185
cell_00573,T_cell,batch_2,healthy,donor_0,1429
cell_00574,T_cell,batch_0,healthy,donor_3,1289
cell_00575,T_cell,batch_0,disease,donor_1,1186
cell_00576,T_cell,batch_2,healthy,donor_3,1228
cell_00577,T_cell,batch_1,healthy,donor_4,1431
cell_00578,T_cell,batch_1,disease,donor_2,1237
cell_00579,T_cell,batch_0,disease,donor_1,1422
cell_00580,T_cell,batch_0,healthy,donor_1,1446
cell_00581,T_cell,batch_0,disease,donor_3,1295
cell_00582,T_cell,batch_2,disease,donor_2,1352
cell_00583,T_cell,batch_0,healthy,donor_4,1435
cell_00584,T_cell,batch_0,healthy,donor_5,1297
cell_00585,T_cell,batch_0,healthy,donor_1,1478
cell_00586,T_cell,batch_0,healthy,donor_0,1441
cell_00587,T_cell,batch_0,disease,donor_0,1186
cell_00588,T_cell,batch_2,healthy,donor_5,1291
cell_00589,T_cell,batch_2,disease,donor_4,1399
cell_00590,T_cell,batch_1,disease,donor_1,1418
cell_00591,T_cell,batch_1,healthy,donor_1,1375
cell_00592,T_cell,batch_1,healthy,donor_2,1344
cell_00593,T_cell,batch_0,healthy,donor_3,1361
cell_00594,T_cell,batch_1,healthy,donor_1,1357
cell_00595,T_cell,batch_0,disease,donor_0,1294
cell_00596,T_cell,batch_2,healthy,donor_5,1247
cell_00597,T_cell,batch_0,disease,donor_3,1295
cell_00598,T_cell,batch_2,healthy,donor_3,1127
cell_00599,T_cell,batch_0,healthy,donor_3,1282
cell_00600,T_cell,batch_1,disease,donor_0,1327
cell_00601,T_cell,batch_1,disease,donor_5,1323
cell_00602,T_cell,batch_2,healthy,donor_4,1341
cell_00603,T_cell,batch_1,disease,donor_2,1253
cell_00604,T_cell,batch_1,disease,donor_0,1240
cell_00605,T_cell,batch_2,healthy,donor_0,1309
cell_00606,T_cell,batch_0,disease,donor_3,1221
cell_00607,T_cell,batch_0,healthy,donor_4,1268
cell_00608,T_cell,batch_2,healthy,donor_4,1193
cell_00609,T_cell,batch_2,healthy,donor_5,1328
cell_00610,T_cell,batch_1,disease,donor_5,1400
cell_00611,T_cell,batch_0,healthy,donor_1,1386
cell_00612,T_cell,batch_0,healthy,donor_5,1332
cell_00613,T_cell,batch_2,healthy,donor_4,1302
cell_00614,T_cell,batch_2,healthy,donor_5,1357
cell_00615,T_cell,batch_0,healthy,donor_1,1366
cell_00616,T_cell,batch_0,healthy,donor_3,1384
cell_00617,T_cell,batch_1,healthy,donor_3,1200
cell_00618,T_cell,batch_0,healthy,donor_0,1358
cell_00619,T_cell,batch_1,healthy,donor_3,1406
cell_00620,T_cell,batch_0,healthy,donor_0,1392
cell_00621,T_cell,batch_1,disease,donor_2,1145
cell_00622,T_cell,batch_1,disease,donor_1,1209
cell_00623,T_cell,batch_1,healthy,donor_3,1310
cell_00624,T_cell,batch_2,disease,donor_4,1473
cell_00625,T_cell,batch_1,disease,donor_5,1322
cell_00626,T_cell,batch_1,healthy,donor_5,1216
cell_00627,T_cell,batch_1,healthy,donor_0,1378
cell_00628,T_cell,batch_0,disease,donor_2,1272
cell_00629,T_cell,batch_2,healthy,donor_3,1383
cell_00630,T_cell,batch_1,healthy,donor_5,1295
cell_00631,T_cell,batch_0,healthy,donor_5,1193
cell_00632,T_cell,batch_2,healthy,donor_5,1167
cell_00633,T_cell,batch_2,disease,donor_2,1295
cell_00634,T_cell,batch_1,disease,donor_4,1258
cell_00635,T_cell,batch_1,healthy,donor_1,1125
cell_00636,T_cell,batch_0,healthy,donor_1,1175
cell_00637,T_cell,batch_2,disease,donor_0,1353
cell_00638,T_cell,batch_2,healthy,donor_5,1288
cell_00639,T_cell,batch_2,disease,donor_4,1426
cell_00640,T_cell,batch_2,healthy,donor_5,1320
cell_00641,T_cell,batch_2,healthy,donor_4,1323
cell_00642,T_cell,batch_1,healthy,donor_0,1245
cell_00643,T_cell,batch_0,disease,donor_1,1302
cell_00644,T_cell,batch_2,disease,donor_0,1452
cell_00645,T_cell,batch_2,disease,donor_2,1177
cell_00646,T_cell,batch_0,healthy,donor_0,1366
cell_00647,T_cell,batch_1,healthy,donor_5,1328
cell_00648,T_cell,batch_1,disease,donor_4,1279
cell_00649,T_cell,batch_2,disease,donor_5,1386
cell_00650,T_cell,batch_2,healthy,donor_4,1487
cell_00651,T_cell,batch_0,healthy,donor_2,1313
cell_00652,T_cell,batch_2,healthy,donor_1,1309
cell_00653,T_cell,batch_1,healthy,donor_5,1309
cell_00654,T_cell,batch_1,healthy,donor_4,1434
cell_00655,T_cell,batch_2,disease,donor_5,1351
cell_00656,T_cell,batch_2,healthy,donor_1,1362
cell_00657,T_cell,batch_1,disease,donor_2,1395
cell_00658,T_cell,batch_1,healthy,donor_2,1336
cell_00659,T_cell,batch_2,healthy,donor_2,1303
cell_00660,T_cell,batch_1,healthy,donor_0,1314
cell_00661,T_cell,batch_0,healthy,donor_4,1395
cell_00662,T_cell,batch_1,healthy,donor_2,1451
cell_00663,T_cell,batch_0,disease,donor_0,1248
cell_00664,T_cell,batch_0,healthy,donor_2,1242
cell_00665,T_cell,batch_2,disease,donor_5,1363
cell_00666,T_cell,batch_2,healthy,donor_2,1396
cell_00667,T_cell,batch_1,healthy,donor_3,1523
cell_00668,T_cell,batch_1,disease,donor_1,1529
cell_00669,T_cell,batch_2,disease,donor_5,1109
cell_00670,T_cell,batch_0,healthy,donor_3,1250
cell_00671,T_cell,batch_1,healthy,donor_5,1391
cell_00672,T_cell,batch_1,disease,donor_4,1229
cell_00673,T_cell,batch_1,healthy,donor_2,1344
cell_00674,T_cell,batch_0,healthy,donor_4,1340
cell_00675,T_cell,batch_1,healthy,donor_3,1215
cell_00676,T_cell,batch_2,disease,donor_2,1091
cell_00677,T_cell,batch_0,healthy,donor_4,1416
cell_00678,T_cell,batch_1,disease,donor_2,1332
cell_00679,T_cell,batch_0,healthy,donor_5,1233
cell_00680,T_cell,batch_1,healthy,donor_0,1361
cell_00681,T_cell,batch_0,healthy,donor_4,1329
cell_00682,T_cell,batch_2,healthy,donor_4,1416
cell_00683,T_cell,batch_0,disease,donor_3,1482
cell_00684,T_cell,batch_1,disease,donor_2,1302
cell_00685,T_cell,batch_2,healthy,donor_2,1348
cell_00686,T_cell,batch_2,healthy,donor_5,1236
cell_00687,T_cell,batch_0,healthy,donor_5,1495
cell_00688,T_cell,batch_0,healthy,donor_1,1391
cell_00689,T_cell,batch_1,disease,donor_3,1380
cell_00690,T_cell,batch_1,disease,donor_2,1181
cell_00691,T_cell,batch_0,healthy,donor_3,1425
cell_00692,T_cell,batch_1,healthy,donor_1,1330
cell_00693,T_cell,batch_1,disease,donor_5,1342
cell_00694,T_cell,batch_2,disease,donor_3,1341
cell_00695,T_cell,batch_1,healthy,donor_2,1305
cell_00696,T_cell,batch_2,healthy,donor_3,1265
cell_00697,T_cell,batch_2,healthy,donor_4,1392
cell_00698,T_cell,batch_0,healthy,donor_4,1096
cell_00699,T_cell,batch_2,healthy,donor_2,1354
cell_00700,T_cell,batch_1,disease,donor_0,1387
cell_00701,T_cell,batch_2,healthy,donor_4,1410
cell_00702,T_cell,batch_2,disease,donor_3,1382
cell_00703,T_cell,batch_2,healthy,donor_2,1235
cell_00704,T_cell,batch_1,disease,donor_2,1273
cell_00705,T_cell,batch_1,healthy,donor_1,1342
cell_00706,T_cell,batch_1,healthy,donor_0,1243
cell_00707,T_cell,batch_1,healthy,donor_3,1321
cell_00708,T_cell,batch_2,healthy,donor_5,1322
cell_00709,T_cell,batch_0,disease,donor_3,1337
cell_00710,T_cell,batch_2,disease,donor_2,1417
cell_00711,T_cell,batch_0,disease,donor_5,1362
cell_00712,T_cell,batch_2,healthy,donor_1,1194
cell_00713,T_cell,batch_2,healthy,donor_2,1185
cell_00714,T_cell,batch_0,healthy,donor_1,1359
cell_00715,T_cell,batch_1,disease,donor_5,1185
cell_00716,T_cell,batch_0,healthy,donor_4,1367
cell_00717,T_cell,batch_1,disease,donor_5,1254
cell_00718,T_cell,batch_2,disease,donor_0,1403
cell_00719,T_cell,batch_2,disease,donor_5,1394
cell_00720,T_cell,batch_1,disease,donor_4,1359
cell_00721,T_cell,batch_1,healthy,donor_3,1284
cell_00722,T_cell,batch_2,disease,donor_2,1291
cell_00723,T_cell,batch_2,disease,donor_1,1377
cell_00724,T_cell,batch_2,healthy,donor_2,1381
cell_00725,T_cell,batch_0,healthy,donor_0,1385
cell_00726,T_cell,batch_2,healthy,donor_2,1249
cell_00727,T_cell,batch_1,healthy,donor_0,1268
cell_00728,T_cell,batch_1,healthy,donor_5,1303
cell_00729,T_cell,batch_2,healthy,donor_3,1262
cell_00730,T_cell,batch_1,disease,donor_3,1277
cell_00731,T_cell,batch_1,disease,donor_5,1191
cell_00732,T_cell,batch_1,disease,donor_5,1305
cell_00733,T_cell,batch_2,disease,donor_0,1234
cell_00734,T_cell,batch_0,disease,donor_1,1329
cell_00735,T_cell,batch_1,healthy,donor_3,1265
cell_00736,T_cell,batch_2,healthy,donor_3,1200
cell_00737,T_cell,batch_1,disease,donor_1,1471
cell_00738,T_cell,batch_1,healthy,donor_3,1330
cell_00739,T_cell,batch_2,disease,donor_1,1153
cell_00740,T_cell,batch_1,healthy,donor_2,1256
cell_00741,T_cell,batch_2,disease,donor_1,1292
cell_00742,T_cell,batch_2,healthy,donor_3,1171
cell_00743,T_cell,batch_1,healthy,donor_3,1202
cell_00744,T_cell,batch_1,healthy,donor_1,1191
cell_00745,T_cell,batch_2,disease,donor_1,1295
cell_00746,T_cell,batch_2,disease,donor_2,1375
cell_00747,T_cell,batch_2,disease,donor_5,1411
cell_00748,T_cell,batch_0,healthy,donor_5,1213
cell_00749,T_cell,batch_2,healthy,donor_3,1320
cell_00750,T_cell,batch_2,healthy,donor_5,1377
cell_00751,T_cell,batch_0,healthy,donor_5,1293
cell_00752,T_cell,batch_2,disease,donor_4,1275
cell_00753,T_cell,batch_0,disease,donor_3,1264
cell_00754,T_cell,batch_2,disease,donor_1,1160
cell_00755,T_cell,batch_1,disease,donor_0,1305
cell_00756,T_cell,batch_1,healthy,donor_1,1436
cell_00757,T_cell,batch_2,disease,donor_4,1425
cell_00758,T_cell,batch_0,healthy,donor_1,1349
cell_00759,T_cell,batch_1,healthy,donor_4,1221
cell_00760,T_cell,batch_0,healthy,donor_4,1195
cell_00761,T_cell,batch_2,healthy,donor_0,1385
cell_00762,T_cell,batch_2,healthy,donor_0,1330
cell_00763,T_cell,batch_1,disease,donor_5,1369
cell_00764,T_cell,batch_0,healthy,donor_5,1299
cell_00765,T_cell,batch_0,healthy,donor_5,1146
cell_00766,T_cell,batch_0,healthy,donor_2,1273
cell_00767,T_cell,batch_0,healthy,donor_4,1277
cell_00768,T_cell,batch_0,disease,donor_3,1199
cell_00769,T_cell,batch_0,disease,donor_1,1294
cell_00770,T_cell,batch_2,healthy,donor_0,1320
cell_00771,T_cell,batch_1,healthy,donor_5,1385
cell_00772,T_cell,batch_0,healthy,donor_2,1418
cell_00773,T_cell,batch_2,healthy,donor_3,1366
cell_00774,T_cell,batch_0,disease,donor_0,1398
cell_00775,T_cell,batch_2,disease,donor_4,1265
cell_00776,T_cell,batch_1,healthy,donor_4,1286
cell_00777,T_cell,batch_1,healthy,donor_0,1288
cell_00778,T_cell,batch_2,disease,donor_5,1113
cell_00779,T_cell,batch_2,healthy,donor_2,1227
cell_00780,T_cell,batch_0,healthy,donor_3,1293
cell_00781,T_cell,batch_0,healthy,donor_0,1236
cell_00782,T_cell,batch_2,healthy,donor_5,1220
cell_00783,T_cell,batch_2,healthy,donor_1,1094
cell_00784,T_cell,batch_0,disease,donor_5,1353
cell_00785,T_cell,batch_1,disease,donor_0,1347
cell_00786,T_cell,batch_0,disease,donor_5,1380
cell_00787,T_cell,batch_0,disease,donor_2,1339
cell_00788,T_cell,batch_1,healthy,donor_1,1553
cell_00789,T_cell,batch_2,disease,donor_1,1480
cell_00790,T_cell,batch_2,healthy,donor_4,1260
cell_00791,T_cell,batch_1,healthy,donor_1,1333
cell_00792,T_cell,batch_1,disease,donor_3,1170
cell_00793,T_cell,batch_2,healthy,donor_1,1369
cell_00794,T_cell,batch_1,healthy,donor_1,1333
cell_00795,T_cell,batch_0,disease,donor_2,1417
cell_00796,T_cell,batch_0,healthy,donor_5,1432
cell_00797,T_cell,batch_0,disease,donor_0,1289
cell_00798,T_cell,batch_2,disease,donor_3,1313
cell_00799,T_cell,batch_0,disease,donor_5,1084
cell_00800,T_cell,batch_0,healthy,donor_1,1392
cell_00801,T_cell,batch_1,disease,donor_3,1318
cell_00802,T_cell,batch_0,healthy,donor_1,1266
cell_00803,T_cell,batch_2,healthy,donor_4,1277
cell_00804,T_cell,batch_0,disease,donor_2,1393
cell_00805,T_cell,batch_0,healthy,donor_0,1314
cell_00806,T_cell,batch_1,healthy,donor_4,1307
cell_00807,T_cell,batch_0,disease,donor_3,1323
cell_00808,T_cell,batch_2,healthy,donor_4,1374
cell_00809,T_cell,batch_0,healthy,donor_3,1246
cell_00810,T_cell,batch_2,healthy,donor_1,1326
cell_00811,T_cell,batch_2,healthy,donor_0,1343
cell_00812,T_cell,batch_1,healthy,donor_5,1276
cell_00813,T_cell,batch_0,disease,donor_1,1194
cell_00814,T_cell,batch_0,disease,donor_4,1157
cell_00815,T_cell,batch_1,healthy,donor_4,1369
cell_00816,T_cell,batch_2,disease,donor_1,1462
cell_00817,T_cell,batch_0,healthy,donor_5,1281
cell_00818,T_cell,batch_1,disease,donor_2,1332
cell_00819,T_cell,batch_1,healthy,donor_5,1255
cell_00820,T_cell,batch_2,healthy,donor_4,1267
cell_00821,T_cell,batch_2,healthy,donor_1,1340
cell_00822,T_cell,batch_2,disease,donor_4,1316
cell_00823,T_cell,batch_2,disease,donor_1,1368
cell_00824,T_cell,batch_1,healthy,donor_3,1342
cell_00825,T_cell,batch_1,healthy,donor_3,1194
cell_00826,T_cell,batch_1,healthy,donor_2,1167
cell_00827,T_cell,batch_1,healthy,donor_0,1269
cell_00828,T_cell,batch_0,healthy,donor_3,1385
cell_00829,T_cell,batch_0,healthy,donor_2,1420
cell_00830,T_cell,batch_0,disease,donor_1,1267
cell_00831,T_cell,batch_2,healthy,donor_4,1121
cell_00832,T_cell,batch_0,healthy,donor_5,1332
cell_00833,T_cell,batch_0,healthy,donor_2,1273
cell_00834,T_cell,batch_2,healthy,donor_0,1279
cell_00835,T_cell,batch_2,disease,donor_1,1197
cell_00836,T_cell,batch_2,healthy,donor_0,1318
cell_00837,T_cell,batch_0,disease,donor_1,1480
cell_00838,T_cell,batch_2,healthy,donor_0,1314
cell_00839,T_cell,batch_1,healthy,donor_1,1365
cell_00840,T_cell,batch_1,disease,donor_5,1254
cell_00841,T_cell,batch_0,disease,donor_2,1265
cell_00842,T_cell,batch_0,healthy,donor_1,1550
cell_00843,T_cell,batch_0,healthy,donor_1,1061
cell_00844,T_cell,batch_0,healthy,donor_5,1233
cell_00845,T_cell,batch_0,healthy,donor_4,1330
cell_00846,T_cell,batch_1,disease,donor_4,1367
cell_00847,T_cell,batch_0,disease,donor_5,1159
cell_00848,T_cell,batch_1,healthy,donor_0,1404
cell_00849,T_cell,batch_0,healthy,donor_0,1369
cell_00850,T_cell,batch_0,disease,donor_3,1243
cell_00851,T_cell,batch_2,healthy,donor_0,1391
cell_00852,T_cell,batch_2,healthy,donor_5,1462
cell_00853,T_cell,batch_0,disease,donor_3,1334
cell_00854,T_cell,batch_2,healthy,donor_5,1225
cell_00855,T_cell,batch_1,healthy,donor_4,1204
cell_00856,T_cell,batch_2,disease,donor_1,1237
cell_00857,T_cell,batch_2,disease,donor_0,1256
cell_00858,T_cell,batch_0,healthy,donor_0,1490
cell_00859,T_cell,batch_1,healthy,donor_0,1251
cell_00860,T_cell,batch_2,healthy,donor_4,1343
cell_00861,T_cell,batch_2,disease,donor_4,1255
cell_00862,T_cell,batch_0,healthy,donor_4,1327
cell_00863,T_cell,batch_2,disease,donor_3,1222
cell_00864,T_cell,batch_1,disease,donor_4,1299
cell_00865,T_cell,batch_1,healthy,donor_2,1262
cell_00866,T_cell,batch_2,healthy,donor_3,1136
cell_00867,T_cell,batch_2,healthy,donor_4,1264
cell_00868,T_cell,batch_1,disease,donor_5,1461
cell_00869,T_cell,batch_2,disease,donor_4,1427
cell_00870,T_cell,batch_0,disease,donor_0,1319
cell_00871,T_cell,batch_2,disease,donor_1,1249
cell_00872,T_cell,batch_2,healthy,donor_2,1293
cell_00873,T_cell,batch_2,healthy,donor_5,1142
cell_00874,T_cell,batch_0,disease,donor_3,1587
cell_00875,T_cell,batch_1,disease,donor_0,1178
cell_00876,T_cell,batch_1,healthy,donor_5,1126
cell_00877,T_cell,batch_1,healthy,donor_4,1286
cell_00878,T_cell,batch_2,disease,donor_4,1381
cell_00879,T_cell,batch_0,healthy,donor_0,1300
cell_00880,T_cell,batch_0,disease,donor_4,1280
cell_00881,T_cell,batch_0,disease,donor_1,1328
cell_00882,T_cell,batch_0,healthy,donor_0,1495
cell_00883,T_cell,batch_0,healthy,donor_1,1251
cell_00884,T_cell,batch_0,healthy,donor_2,1402
cell_00885,T_cell,batch_0,healthy,donor_2,1260
cell_00886,T_cell,batch_2,disease,donor_3,1419
cell_00887,T_cell,batch_2,healthy,donor_2,1371
cell_00888,T_cell,batch_2,disease,donor_4,1209
cell_00889,T_cell,batch_1,healthy,donor_4,1252
cell_00890,T_cell,batch_2,disease,donor_4,1315
cell_00891,T_cell,batch_0,disease,donor_0,1459
cell_00892,T_cell,batch_0,healthy,donor_3,1374
cell_00893,T_cell,batch_1,disease,donor_1,1320
cell_00894,T_cell,batch_0,disease,donor_4,1399
cell_00895,T_cell,batch_1,healthy,donor_5,1423
cell_00896,T_cell,batch_2,healthy,donor_1,1262
cell_00897,T_cell,batch_0,disease,donor_4,1497
cell_00898,T_cell,batch_2,healthy,donor_0,1379
cell_00899,T_cell,batch_1,healthy,donor_2,1195
cell_00900,T_cell,batch_1,healthy,donor_5,1371
cell_00901,T_cell,batch_0,disease,donor_0,1389
cell_00902,T_cell,batch_0,healthy,donor_3,1453
cell_00903,T_cell,batch_0,disease,donor_5,1248
cell_00904,T_cell,batch_2,disease,donor_4,1331
cell_00905,T_cell,batch_2,healthy,donor_5,1343
cell_00906,T_cell,batch_2,healthy,donor_0,1298
cell_00907,T_cell,batch_1,healthy,donor_1,1299
cell_00908,T_cell,batch_0,healthy,donor_4,1476
cell_00909,T_cell,batch_1,healthy,donor_1,1331
cell_00910,T_cell,batch_0,healthy,donor_5,1157
cell_00911,T_cell,batch_1,healthy,donor_3,1388
cell_00912,T_cell,batch_2,healthy,donor_5,1323
cell_00913,T_cell,batch_0,disease,donor_5,1488
cell_00914,T_cell,batch_0,disease,donor_2,1397
cell_00915,T_cell,batch_0,disease,donor_4,1350
cell_00916,T_cell,batch_1,disease,donor_4,1275
cell_00917,T_cell,batch_0,healthy,donor_1,1322
cell_00918,T_cell,batch_2,disease,donor_4,1280
cell_00919,T_cell,batch_2,healthy,donor_2,1336
cell_00920,T_cell,batch_1,disease,donor_1,1474
cell_00921,T_cell,batch_0,healthy,donor_2,1386
cell_00922,T_cell,batch_0,healthy,donor_2,1346
cell_00923,T_cell,batch_1,healthy,donor_2,1087
cell_00924,T_cell,batch_1,healthy,donor_1,1131
cell_00925,T_cell,batch_0,disease,donor_4,1355
cell_00926,T_cell,batch_0,healthy,donor_2,1360
cell_00927,T_cell,batch_1,disease,donor_2,1246
cell_00928,T_cell,batch_2,disease,donor_0,1305
cell_00929,T_cell,batch_0,disease,donor_3,1312
cell_00930,T_cell,batch_1,healthy,donor_3,1133
cell_00931,T_cell,batch_2,healthy,donor_2,1297
cell_00932,T_cell,batch_0,disease,donor_3,1268
cell_00933,T_cell,batch_0,healthy,donor_4,1243
cell_00934,T_cell,batch_1,healthy,donor_5,1191
cell_00935,T_cell,batch_0,disease,donor_0,1425
cell_00936,T_cell,batch_0,disease,donor_0,1148
cell_00937,T_cell,batch_1,healthy,donor_1,1325
cell_00938,T_cell,batch_0,healthy,donor_1,1123
cell_00939,T_cell,batch_2,disease,donor_3,1275
cell_00940,T_cell,batch_1,healthy,donor_4,1331
cell_00941,T_cell,batch_1,healthy,donor_5,1233
cell_00942,T_cell,batch_1,disease,donor_2,1408
cell_00943,T_cell,batch_2,healthy,donor_3,1322
cell_00944,T_cell,batch_2,disease,donor_5,1488
cell_00945,T_cell,batch_2,disease,donor_3,1466
cell_00946,T_cell,batch_0,healthy,donor_3,1247
cell_00947,T_cell,batch_1,healthy,donor_4,1385
cell_00948,T_cell,batch_1,healthy,donor_3,1274
cell_00949,T_cell,batch_2,disease,donor_2,1303
cell_00950,T_cell,batch_0,disease,donor_5,1376
cell_00951,T_cell,batch_1,healthy,donor_0,1259
cell_00952,T_cell,batch_0,healthy,donor_4,1231
cell_00953,T_cell,batch_1,healthy,donor_3,1234
cell_00954,T_cell,batch_2,healthy,donor_3,1439
cell_00955,T_cell,batch_0,disease,donor_5,1345
cell_00956,T_cell,batch_0,healthy,donor_3,1160
